Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.200,635.847,45.815,88.440,117.881,298.485,3164.109,3164.109,3164.109,3164.109,0.002
5,0.200,1496.423,1496.423,1496.423,1496.423,1496.423,1496.423,1496.423,1496.423,1496.423,0.001
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.200,8319.947,8319.947,8319.947,8319.947,8319.947,8319.947,8319.947,8319.947,8319.947,0.000
20,0.400,278.861,174.304,174.304,383.418,383.418,383.418,383.418,383.418,383.418,0.004
25,2.400,133.538,11.675,52.976,93.926,224.802,277.448,438.500,438.500,438.500,0.007
