Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,312.400,32.341,7.967,20.735,26.283,34.807,54.650,73.675,133.506,207.255,0.031
5,243.600,37.391,4.803,20.318,26.443,37.390,68.164,96.447,217.750,332.961,0.027
10,262.200,36.725,6.546,21.813,28.066,36.987,60.161,84.466,167.352,293.502,0.027
15,286.000,34.588,8.810,20.355,26.779,34.669,59.735,84.846,179.867,253.192,0.029
20,263.800,37.607,7.154,21.265,27.387,37.118,68.883,89.961,177.443,310.451,0.027
25,307.400,32.784,7.346,20.973,26.757,35.702,52.733,73.400,143.608,212.614,0.031
30,287.400,34.598,5.574,20.718,26.920,35.199,65.497,82.830,136.420,218.520,0.029
35,265.200,38.355,10.176,21.804,28.261,37.469,61.235,81.753,335.073,397.572,0.026
40,308.200,32.694,5.250,21.633,28.031,36.892,55.150,68.936,103.626,171.642,0.031
45,286.600,34.264,7.712,20.644,27.314,36.647,65.812,78.970,118.753,199.123,0.029
50,274.600,34.182,5.218,20.464,26.818,36.618,62.419,79.051,129.858,220.693,0.029
55,261.800,35.793,6.539,20.461,27.045,37.963,69.215,95.856,136.532,176.892,0.028
