Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,679.200,23.569,0.765,9.945,17.580,28.391,44.811,62.969,123.836,259.780,0.042
5,548.200,29.782,1.281,10.630,18.773,31.812,60.774,84.166,223.381,347.587,0.034
10,579.600,27.038,0.826,10.028,18.811,31.035,55.196,73.462,159.805,296.827,0.037
15,636.200,25.126,0.762,9.878,17.367,28.961,47.163,70.817,166.136,253.192,0.040
20,570.000,28.116,0.763,10.109,19.322,30.785,59.207,76.925,167.880,310.451,0.036
25,684.400,23.481,0.768,9.794,17.348,28.284,43.760,61.684,129.603,212.614,0.043
30,633.600,25.348,0.706,10.236,18.211,29.576,53.603,73.095,127.952,280.283,0.039
35,574.600,27.554,1.284,10.788,19.205,30.899,54.471,68.803,163.153,397.572,0.036
40,666.800,24.001,1.351,10.694,18.868,30.440,46.758,62.436,108.630,171.642,0.042
45,632.400,25.609,0.802,10.494,18.394,30.758,57.606,72.281,116.595,199.123,0.039
50,622.600,25.333,0.707,10.145,17.638,29.633,57.016,68.689,127.638,224.114,0.039
55,575.000,27.664,0.794,10.605,18.615,30.916,62.123,87.461,138.742,259.030,0.036
