Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1769324985.099480,17940,7,1
2,Payment,1769324985.099553,13769,3,1
5,StockLevel,1769324985.099605,8712,9,1
5,StockLevel,1769324985.099643,8786,11,1
5,StockLevel,1769324985.099761,9156,1,1
1,NewOrder,1769324985.099924,15197,8,1
2,Payment,1769324985.104527,11302,12,1
1,NewOrder,1769324985.106046,37416,15,1
1,NewOrder,1769324985.106082,20165,13,1
1,NewOrder,1769324985.106232,46987,2,1
2,Payment,1769324985.106345,14237,14,1
1,NewOrder,1769324985.106724,19285,5,1
4,Delivery,1769324985.108155,29733,6,1
2,Payment,1769324985.108402,8237,9,1
1,NewOrder,1769324985.108442,39070,11,1
1,NewOrder,1769324985.108928,57131,1,1
2,Payment,1769324985.113347,9245,3,1
1,NewOrder,1769324985.115142,39267,8,1
1,NewOrder,1769324985.115847,36168,12,1
2,Payment,1769324985.116567,14620,4,1
5,StockLevel,1769324985.116657,11060,9,1
1,NewOrder,1769324985.117433,32238,7,1
1,NewOrder,1769324985.120601,17085,14,1
5,StockLevel,1769324985.122607,21466,3,1
1,NewOrder,1769324985.123397,26326,10,1
4,Delivery,1769324985.123475,67143,0,1
1,NewOrder,1769324985.126025,28215,5,1
3,OrderStatus,1769324985.126260,2676,13,1
1,NewOrder,1769324985.127730,25213,9,1
1,NewOrder,1769324985.128998,19245,13,1
1,NewOrder,1769324985.131205,18510,4,1
2,Payment,1769324985.137707,10725,14,1
2,Payment,1769324985.137902,8339,6,1
2,Payment,1769324985.143481,12311,15,1
2,Payment,1769324985.144086,9337,3,1
5,StockLevel,1769324985.146254,7967,6,1
1,NewOrder,1769324985.147524,36295,11,1
1,NewOrder,1769324985.148252,21628,13,1
3,OrderStatus,1769324985.148442,4499,14,1
4,Delivery,1769324985.149683,34189,7,1
1,NewOrder,1769324985.149724,20142,4,1
2,Payment,1769324985.149736,9693,10,1
1,NewOrder,1769324985.152027,33312,12,1
2,Payment,1769324985.152951,16920,14,1
2,Payment,1769324985.152954,17154,9,1
2,Payment,1769324985.153233,8047,2,1
1,NewOrder,1769324985.153433,16495,3,1
1,NewOrder,1769324985.154232,15904,6,1
1,NewOrder,1769324985.154292,23073,5,1
1,NewOrder,1769324985.154418,22895,8,1
1,NewOrder,1769324985.155827,35016,15,1
2,Payment,1769324985.159443,18276,10,1
2,Payment,1769324985.161294,7994,2,1
1,NewOrder,1769324985.166108,51731,1,1
1,NewOrder,1769324985.169304,16179,2,1
2,Payment,1769324985.169882,10016,4,1
1,NewOrder,1769324985.169884,30885,14,1
1,NewOrder,1769324985.169892,20463,13,1
1,NewOrder,1769324985.169954,23117,3,1
4,Delivery,1769324985.170122,30684,9,1
1,NewOrder,1769324985.170146,17262,6,1
2,Payment,1769324985.177331,10137,8,1
1,NewOrder,1769324985.177369,25449,5,1
