Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,193.800,29.123,9.194,14.950,18.786,28.756,52.943,79.066,194.458,326.236,0.034
5,149.200,42.759,9.122,13.432,16.578,28.350,78.870,112.700,448.287,1307.450,0.023
10,243.400,23.952,7.725,13.512,16.524,25.261,39.049,66.235,108.052,302.476,0.042
15,147.000,42.279,7.692,13.884,17.848,32.464,112.754,169.199,285.156,461.578,0.024
20,170.000,32.145,9.228,14.426,17.713,26.730,73.932,118.082,239.779,370.053,0.031
25,172.800,35.880,8.798,13.681,17.758,31.786,88.516,127.618,219.143,336.655,0.028
30,166.400,39.716,8.203,14.040,17.940,30.679,77.880,126.079,505.414,683.450,0.025
35,89.200,61.896,8.133,16.696,29.841,66.434,120.068,187.173,662.533,737.540,0.016
40,198.000,34.129,9.476,14.624,17.731,28.987,70.118,119.497,283.564,563.017,0.029
45,213.200,25.931,8.255,14.237,16.714,25.770,43.917,75.227,151.083,333.423,0.039
50,92.200,72.070,10.030,15.393,23.471,55.529,134.115,440.160,696.928,1138.032,0.014
55,162.600,34.241,9.643,14.718,18.990,33.040,72.858,119.564,249.657,376.289,0.029
