Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,21.400,55.090,19.583,33.857,44.691,56.703,93.114,114.273,304.421,320.125,0.018
5,14.200,67.034,16.556,29.627,37.731,74.278,91.219,154.237,791.073,791.073,0.015
10,22.200,48.069,12.278,33.921,42.376,51.346,70.530,100.852,171.432,194.829,0.021
15,13.200,69.929,14.386,31.085,43.710,81.377,156.084,283.230,301.366,301.366,0.014
20,13.400,60.576,19.472,34.170,40.317,62.560,140.819,149.494,305.653,305.653,0.017
25,16.400,53.954,19.269,31.347,40.791,50.955,99.056,148.726,319.215,319.215,0.019
30,13.000,51.296,19.902,32.205,39.030,52.042,92.350,134.887,200.343,200.343,0.019
35,12.000,74.519,19.660,29.967,46.180,91.315,152.571,232.122,485.337,485.337,0.013
40,16.200,47.805,21.350,31.373,38.769,49.540,89.946,111.630,188.223,188.223,0.021
45,21.600,41.904,20.162,28.933,35.485,44.880,62.343,90.601,124.083,167.519,0.024
50,8.200,100.800,20.551,34.485,45.305,88.738,271.277,394.971,466.877,466.877,0.010
55,16.600,44.372,20.047,31.708,38.605,50.161,74.038,88.881,163.076,163.076,0.023
