Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.000,7.124,0.733,1.746,4.062,9.699,16.654,20.924,30.419,70.711,0.140
5,11.800,23.089,0.863,2.773,4.903,11.086,18.707,94.487,787.634,787.634,0.043
10,20.800,8.679,0.913,1.978,4.667,10.054,16.550,20.849,69.026,111.569,0.115
15,16.200,12.684,0.865,1.939,8.099,12.556,20.373,35.250,140.202,140.202,0.079
20,15.000,17.710,0.802,1.803,5.574,11.495,20.559,92.777,293.071,293.071,0.056
25,16.800,15.684,0.942,2.871,9.795,17.455,27.626,71.476,149.368,149.368,0.064
30,15.600,13.389,0.869,2.037,5.663,11.784,20.472,45.650,286.419,286.419,0.075
35,8.800,25.948,0.625,1.783,10.293,18.657,62.186,84.441,440.677,440.677,0.039
40,23.600,14.853,0.696,1.997,9.299,13.763,28.196,81.228,119.291,149.022,0.067
45,23.000,11.789,0.763,1.913,9.966,12.801,19.117,46.024,84.107,91.181,0.085
50,7.600,11.179,0.744,2.572,5.848,13.995,31.462,35.388,76.188,76.188,0.089
55,18.200,10.010,0.730,1.452,6.329,14.875,21.763,27.844,81.339,81.339,0.100
