Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,21.200,24.922,2.808,13.714,16.527,25.280,38.698,69.325,92.124,293.741,0.040
5,10.400,34.303,1.683,10.579,12.582,16.867,30.586,120.325,792.198,792.198,0.029
10,21.800,19.397,2.212,12.144,13.575,17.615,30.335,69.846,113.557,113.567,0.052
15,15.400,37.226,1.857,12.815,15.851,24.921,93.239,135.450,458.840,458.840,0.027
20,15.400,29.530,1.647,13.252,16.351,22.187,70.521,140.840,189.479,189.479,0.034
25,19.000,27.104,2.757,12.014,15.275,23.166,73.402,119.185,140.204,140.204,0.037
30,16.000,27.581,1.693,13.192,15.559,20.798,77.278,93.344,327.417,327.417,0.036
35,10.800,51.607,1.725,15.574,22.972,41.846,135.998,184.447,662.355,662.355,0.019
40,14.400,21.241,11.036,13.481,15.208,19.581,30.406,69.408,121.505,121.505,0.047
45,19.000,29.013,1.707,13.575,16.146,21.518,74.414,98.367,333.580,333.580,0.034
50,6.400,65.314,10.886,15.418,19.827,78.009,113.488,226.146,696.770,696.770,0.015
55,18.000,32.330,4.728,13.498,17.125,22.346,82.038,119.909,395.680,395.680,0.031
