Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,211,211.000,916,26904,38698,77913,95609,199720,303865,320125,326236
1,436,436.000,733,20345,29904,35946,42903,76045,86040,93262,114273
2,527,527.000,1042,19103,27502,30295,36369,47996,65357,101365,120392
3,638,638.000,891,14838,22674,24932,30822,38798,46387,88907,117484
4,522,522.000,1035,16154,24755,31956,36708,67069,82440,128298,143809
5,260,260.000,938,24345,35878,68751,84784,161114,199323,460706,474899
6,112,112.000,2853,38891,93807,193623,167297,787634,792198,861389,1307450
7,15,15.000,392474,393885,396239,529172,829086,841414,959957,959957,959957
8,625,625.000,863,14001,20654,25339,28549,40350,72690,91219,112700
9,652,652.000,979,14347,21830,24444,30764,39032,47182,80474,95389
10,463,463.000,1710,15312,25203,40903,35401,85665,167848,293937,302476
11,376,376.000,913,21023,29364,36600,42410,77972,85932,108508,135600
12,537,537.000,943,16326,24578,28678,34122,49818,73316,96813,108052
13,743,743.000,982,13615,19951,21399,28030,33371,37528,48320,61230
14,626,626.000,1049,15750,23516,25724,31377,40098,51270,83146,109852
15,298,298.000,1217,23420,38614,63365,78221,166116,216340,293807,294046
16,137,137.000,3187,32364,93386,96389,141556,169199,210829,268137,285139
17,418,418.000,865,15659,23382,37758,32036,99898,143506,216122,250452
18,665,665.000,939,13896,20252,24337,29868,39257,64005,82187,96861
19,182,182.000,1231,20119,29353,94753,87766,301366,454924,470134,471774
20,322,322.000,802,21965,30686,48886,71348,118304,140840,153728,164173
21,594,594.000,1276,15677,22044,25175,30959,39506,47827,85528,93062
22,539,539.000,1268,14940,21991,32609,30875,41189,184175,203924,214098
23,390,390.000,1400,17665,24671,37821,40815,87621,98407,144968,182851
24,128,128.000,2214,36376,80532,124963,202780,305717,323602,363625,370053
25,239,239.000,2600,23124,41319,64862,88602,139922,200665,216575,219143
26,709,709.000,1109,13826,21377,22717,28191,34396,41055,70524,79011
27,636,636.000,942,15399,23527,25354,31786,41024,47373,78204,112673
28,261,261.000,1381,21731,41854,67759,104097,149251,208897,233445,236848
29,171,171.000,955,32133,73904,86468,99299,168189,255593,336559,336655
30,413,413.000,1068,18710,27913,37105,44329,82919,91802,103188,136027
31,668,668.000,1035,14447,21425,23957,28934,37360,45695,88217,107386
32,437,437.000,1584,14716,23401,41551,33463,114137,173713,298131,313188
33,275,275.000,869,22387,33432,50874,76858,98361,125810,184599,201364
34,153,153.000,929,34176,52061,143152,188402,504737,512106,629959,683450
35,127,127.000,2945,34780,65750,80523,91630,179597,193645,213314,220481
36,546,546.000,1084,17030,23969,34508,33645,54116,76665,247535,679333
37,110,110.000,625,29099,74196,116511,91807,440677,662505,669760,737540
38,103,103.000,4261,71068,120325,176761,278340,466357,485337,524756,663101
39,253,253.000,763,26594,41928,56664,83570,117525,129653,143567,195120
40,632,632.000,696,16180,23247,24415,30352,38264,44668,55143,78204
41,635,635.000,797,14759,21491,25326,28123,34672,41943,180204,195626
42,352,352.000,991,17087,28695,46259,51683,111821,150091,173450,283564
43,324,324.000,887,22191,31614,49142,55481,121103,140951,181299,300165
44,343,343.000,1005,17420,28600,61915,70461,110571,204244,525175,563017
45,178,178.000,763,24415,39068,59157,84529,120721,151924,333580,333590
46,544,544.000,1018,17374,25933,30079,36352,52823,71953,95726,138892
47,489,489.000,917,16074,23686,31989,32569,48568,110173,167892,190893
48,631,631.000,780,15511,22290,25255,29782,38234,65283,84986,99776
49,595,595.000,834,14682,20731,26941,29844,41608,77453,151083,176400
50,592,592.000,861,15644,23160,27130,30355,42469,73908,109554,133547
51,97,97.000,744,80349,105764,167410,222913,466372,467437,492432,492432
52,60,60.000,65484,135403,225525,300151,492658,603624,777289,783122,783122
53,42,42.000,111629,271277,442549,470135,696928,698727,709956,1138032,1138032
54,229,229.000,1012,26699,36770,45892,61422,90148,106346,117834,118861
55,331,331.000,730,21502,27610,51839,44962,153220,174410,217980,301106
56,514,514.000,1036,15552,22786,28702,29820,56216,83505,116124,149077
57,190,190.000,899,30342,54756,99776,116691,282034,368177,419047,423601
58,318,318.000,823,20925,32519,39680,51423,81339,94245,123702,132789
59,598,598.000,773,14369,22127,24942,28344,37682,48102,127257,134016
