Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,SendPayment,1764751701.485379,5044,0,1
1,Amalgamate,1764751701.495328,3947,0,1
6,WriteCheck,1764751701.505400,3840,0,1
3,DepositChecking,1764751701.515411,3847,0,1
5,TransactSavings,1764751701.525343,3988,0,1
4,SendPayment,1764751701.535371,3841,0,1
1,Amalgamate,1764751701.545333,3671,0,1
4,SendPayment,1764751701.555347,4122,0,1
4,SendPayment,1764751701.565346,3835,0,1
6,WriteCheck,1764751701.575319,3695,0,1
4,SendPayment,1764751701.585295,4761,0,1
4,SendPayment,1764751701.595278,4072,0,1
3,DepositChecking,1764751701.605315,4112,0,1
4,SendPayment,1764751701.615302,4277,0,1
3,DepositChecking,1764751701.625313,3803,0,1
4,SendPayment,1764751701.635355,3757,0,1
4,SendPayment,1764751701.645316,3791,0,1
4,SendPayment,1764751701.655363,3914,0,1
5,TransactSavings,1764751701.665433,3819,0,1
3,DepositChecking,1764751701.675375,3386,0,1
1,Amalgamate,1764751701.685287,3972,0,1
3,DepositChecking,1764751701.695348,4841,0,1
4,SendPayment,1764751701.705387,4435,0,1
1,Amalgamate,1764751701.715320,3955,0,1
1,Amalgamate,1764751701.725340,4759,0,1
1,Amalgamate,1764751701.735308,4569,0,1
3,DepositChecking,1764751701.745331,3759,0,1
1,Amalgamate,1764751701.755364,4658,0,1
6,WriteCheck,1764751701.765331,4544,0,1
5,TransactSavings,1764751701.775318,3402,0,1
4,SendPayment,1764751701.785364,4296,0,1
4,SendPayment,1764751701.795351,3484,0,1
6,WriteCheck,1764751701.805395,3580,0,1
3,DepositChecking,1764751701.815396,5224,0,1
1,Amalgamate,1764751701.825306,4240,0,1
1,Amalgamate,1764751701.835326,4015,0,1
2,Balance,1764751701.845343,1227,0,1
2,Balance,1764751701.855426,1047,0,1
3,DepositChecking,1764751701.865285,3318,0,1
2,Balance,1764751701.875395,1152,0,1
6,WriteCheck,1764751701.885381,4310,0,1
1,Amalgamate,1764751701.895540,4025,0,1
1,Amalgamate,1764751701.905467,4357,0,1
6,WriteCheck,1764751701.915356,4117,0,1
1,Amalgamate,1764751701.925323,3992,0,1
4,SendPayment,1764751701.935358,4549,0,1
6,WriteCheck,1764751701.945339,4407,0,1
4,SendPayment,1764751701.955412,3771,0,1
2,Balance,1764751701.965365,889,0,1
2,Balance,1764751701.975574,1301,0,1
2,Balance,1764751701.985452,875,0,1
3,DepositChecking,1764751701.995458,4357,0,1
6,WriteCheck,1764751702.005697,4266,0,1
1,Amalgamate,1764751702.015444,4652,0,1
2,Balance,1764751702.025473,1109,0,1
3,DepositChecking,1764751702.035330,4044,0,1
5,TransactSavings,1764751702.045371,3875,0,1
1,Amalgamate,1764751702.055424,3962,0,1
4,SendPayment,1764751702.065339,3631,0,1
2,Balance,1764751702.075351,1283,0,1
6,WriteCheck,1764751702.085377,3984,0,1
4,SendPayment,1764751702.095302,4097,0,1
4,SendPayment,1764751702.105450,4831,0,1
1,Amalgamate,1764751702.115325,4020,0,1
1,Amalgamate,1764751702.125317,5159,0,1
1,Amalgamate,1764751702.135395,4706,0,1
6,WriteCheck,1764751702.145381,4098,0,1
4,SendPayment,1764751702.155347,3648,0,1
1,Amalgamate,1764751702.165328,4109,0,1
4,SendPayment,1764751702.175324,3869,0,1
3,DepositChecking,1764751702.185374,3613,0,1
2,Balance,1764751702.195536,1250,0,1
3,DepositChecking,1764751702.205457,3841,0,1
6,WriteCheck,1764751702.215553,4572,0,1
1,Amalgamate,1764751702.225436,3991,0,1
2,Balance,1764751702.235375,1046,0,1
5,TransactSavings,1764751702.245352,5131,0,1
4,SendPayment,1764751702.255470,4165,0,1
3,DepositChecking,1764751702.265352,3524,0,1
5,TransactSavings,1764751702.275493,3945,0,1
6,WriteCheck,1764751702.285381,4400,0,1
6,WriteCheck,1764751702.295347,3572,0,1
6,WriteCheck,1764751702.305417,3617,0,1
3,DepositChecking,1764751702.315350,3610,0,1
1,Amalgamate,1764751702.325346,3745,0,1
4,SendPayment,1764751702.335335,3495,0,1
6,WriteCheck,1764751702.345342,3901,0,1
4,SendPayment,1764751702.355494,3591,0,1
3,DepositChecking,1764751702.365458,2936,0,1
1,Amalgamate,1764751702.375357,3481,0,1
3,DepositChecking,1764751702.385443,3336,0,1
2,Balance,1764751702.395409,1124,0,1
6,WriteCheck,1764751702.405442,3618,0,1
4,SendPayment,1764751702.415403,4218,0,1
4,SendPayment,1764751702.425354,3435,0,1
6,WriteCheck,1764751702.435339,3470,0,1
6,WriteCheck,1764751702.445282,3772,0,1
